image_idx,class_label,pixelation_level,user_guess,correct,action_taken
17,4,3.0,,,next_level
17,4,2.6,,,next_level
17,4,2.2,4,True,guess
18,6,6.5,,,next_level
18,6,5.0,,,next_level
18,6,4.2,,,next_level
18,6,3.5,6,True,guess
19,5,6.5,,,next_level
19,5,5.0,,,next_level
19,5,4.2,,,next_level
19,5,3.5,,,next_level
19,5,3.0,,,next_level
19,5,2.6,5,True,guess
20,7,6.5,,,next_level
20,7,5.0,,,next_level
20,7,4.2,7,True,guess
21,5,6.5,,,next_level
21,5,5.0,,,next_level
21,5,4.2,,,next_level
21,5,3.5,,,next_level
21,5,3.0,,,next_level
21,5,2.6,,,next_level
21,5,2.2,,,next_level
21,5,2.0,6,False,guess
22,9,6.5,,,next_level
22,9,5.0,,,next_level
22,9,4.2,,,next_level
22,9,3.5,9,True,guess
23,5,6.5,,,next_level
23,5,5.0,,,next_level
23,5,4.2,,,next_level
23,5,3.5,,,next_level
23,5,3.0,5,True,guess
24,5,6.5,,,next_level
24,5,5.0,,,next_level
24,5,4.2,,,next_level
24,5,3.5,,,next_level
24,5,3.0,,,next_level
24,5,2.6,,,next_level
24,5,2.2,,,next_level
24,5,2.0,5,True,guess
25,6,6.5,,,next_level
25,6,5.0,,,next_level
25,6,4.2,,,next_level
25,6,3.5,,,next_level
25,6,3.0,6,True,guess
26,2,6.5,,,next_level
26,2,5.0,,,next_level
26,2,4.2,,,next_level
26,2,3.5,,,next_level
26,2,3.0,,,next_level
26,2,2.6,,,next_level
26,2,2.2,,,next_level
26,2,2.0,3,False,guess
27,4,6.5,,,next_level
27,4,5.0,,,next_level
27,4,4.2,,,next_level
27,4,3.5,,,next_level
27,4,3.0,,,next_level
27,4,2.6,4,True,guess
28,3,6.5,,,next_level
28,3,5.0,,,next_level
28,3,4.2,,,next_level
28,3,3.5,,,next_level
28,3,3.0,,,next_level
28,3,2.6,,,next_level
28,3,2.2,3,True,guess
29,2,6.5,,,next_level
29,2,5.0,,,next_level
29,2,4.2,,,next_level
29,2,3.5,,,next_level
29,2,3.0,,,next_level
29,2,2.6,,,next_level
29,2,2.2,,,next_level
29,2,2.0,2,True,guess
30,0,6.5,,,next_level
30,0,5.0,,,next_level
30,0,4.2,,,next_level
30,0,3.5,,,next_level
30,0,3.0,9,False,guess
31,6,6.5,,,next_level
31,6,5.0,,,next_level
31,6,4.2,,,next_level
31,6,3.5,,,next_level
31,6,3.0,,,next_level
31,6,2.6,,,next_level
31,6,2.2,6,True,guess
32,4,6.5,,,next_level
32,4,5.0,,,next_level
32,4,4.2,,,next_level
32,4,3.5,,,next_level
32,4,3.0,,,next_level
32,4,2.6,4,True,guess
33,4,6.5,,,next_level
33,4,5.0,,,next_level
33,4,4.2,,,next_level
33,4,3.5,,,next_level
33,4,3.0,,,next_level
33,4,2.6,9,False,guess
34,2,6.5,,,next_level
34,2,5.0,,,next_level
34,2,4.2,,,next_level
34,2,3.5,,,next_level
34,2,3.0,2,True,guess
35,5,6.5,,,next_level
35,5,5.0,,,next_level
35,5,4.2,,,next_level
35,5,3.5,,,next_level
35,5,3.0,,,next_level
35,5,2.6,6,False,guess
36,7,6.5,,,next_level
36,7,5.0,,,next_level
36,7,4.2,,,next_level
36,7,3.5,,,next_level
36,7,3.0,,,next_level
36,7,2.6,,,next_level
36,7,2.2,,,next_level
36,7,2.0,,,next_level
36,7,1.8,,,next_level
36,7,1.6,,,next_level
36,7,1.3,,,next_level
36,7,1.1,7,True,guess
37,8,6.5,,,next_level
37,8,5.0,,,next_level
37,8,4.2,,,next_level
37,8,3.5,,,next_level
37,8,3.0,,,next_level
37,8,2.6,,,next_level
37,8,2.2,8,True,guess
38,4,6.5,,,next_level
38,4,5.0,,,next_level
38,4,4.2,,,next_level
38,4,3.5,,,next_level
38,4,3.0,,,next_level
38,4,2.6,,,next_level
38,4,2.2,,,next_level
38,4,2.0,4,True,guess
39,9,6.5,,,next_level
39,9,5.0,,,next_level
39,9,4.2,,,next_level
39,9,3.5,,,next_level
39,9,3.0,,,next_level
39,9,2.6,9,True,guess
40,1,6.5,,,next_level
40,1,5.0,,,next_level
40,1,4.2,,,next_level
40,1,3.5,,,next_level
40,1,3.0,,,next_level
40,1,2.6,,,next_level
40,1,2.2,,,next_level
40,1,2.0,,,next_level
40,1,1.8,,,next_level
40,1,1.6,1,True,guess
41,1,6.5,,,next_level
41,1,5.0,,,next_level
41,1,4.2,,,next_level
41,1,3.5,,,next_level
41,1,3.0,,,next_level
41,1,2.6,,,next_level
41,1,2.2,,,next_level
41,1,2.0,,,next_level
41,1,1.8,,,next_level
41,1,1.6,1,True,guess
42,3,6.5,,,next_level
42,3,5.0,,,next_level
42,3,4.2,,,next_level
42,3,3.5,,,next_level
42,3,3.0,,,next_level
42,3,2.6,3,True,guess
43,5,6.5,,,next_level
43,5,5.0,,,next_level
43,5,4.2,,,next_level
43,5,3.5,,,next_level
43,5,3.0,,,next_level
43,5,2.6,,,next_level
43,5,2.2,,,next_level
43,5,2.0,,,next_level
43,5,1.8,,,next_level
43,5,1.6,,,next_level
43,5,1.3,,,next_level
43,5,1.1,,,next_level
43,5,1.0,4,False,guess
44,8,6.5,,,next_level
44,8,5.0,,,next_level
44,8,4.2,,,next_level
44,8,3.5,,,next_level
44,8,3.0,,,next_level
44,8,2.6,8,True,guess
45,9,6.5,,,next_level
45,9,5.0,,,next_level
45,9,4.2,,,next_level
45,9,3.5,,,next_level
45,9,3.0,,,next_level
45,9,2.6,,,next_level
45,9,2.2,,,next_level
45,9,2.0,9,True,guess
46,3,6.5,,,next_level
46,3,5.0,,,next_level
46,3,4.2,,,next_level
46,3,3.5,,,next_level
46,3,3.0,,,next_level
46,3,2.6,,,next_level
46,3,2.2,3,True,guess
47,5,6.5,,,next_level
47,5,5.0,,,next_level
47,5,4.2,,,next_level
47,5,3.5,,,next_level
47,5,3.0,,,next_level
47,5,2.6,,,next_level
47,5,2.2,,,next_level
47,5,2.0,,,next_level
47,5,1.8,7,False,guess
48,7,6.5,,,next_level
48,7,5.0,,,next_level
48,7,4.2,,,next_level
48,7,3.5,,,next_level
48,7,3.0,,,next_level
48,7,2.6,,,next_level
48,7,2.2,7,True,guess
49,1,6.5,,,next_level
49,1,5.0,,,next_level
49,1,4.2,,,next_level
49,1,3.5,,,next_level
49,1,3.0,,,next_level
49,1,2.6,,,next_level
49,1,2.2,1,True,guess
50,1,6.5,,,next_level
50,1,5.0,,,next_level
50,1,4.2,,,next_level
50,1,3.5,,,next_level
50,1,3.0,,,next_level
50,1,2.6,,,next_level
50,1,2.2,1,True,guess
